ID,CDRH1_mean,CDRH1_std,CDRH1_median,CDRH1_max,CDRH1_min,CDRH2_mean,CDRH2_std,CDRH2_median,CDRH2_max,CDRH2_min,CDRH3_mean,CDRH3_std,CDRH3_median,CDRH3_max,CDRH3_min,CDRL1_mean,CDRL1_std,CDRL1_median,CDRL1_max,CDRL1_min,CDRL2_mean,CDRL2_std,CDRL2_median,CDRL2_max,CDRL2_min,CDRL3_mean,CDRL3_std,CDRL3_median,CDRL3_max,CDRL3_min
010101010101020201_pdb,0.614036978016767,0.15461745646565986,0.6596399754205087,0.8406545018301437,0.3356648848065356,0.559564012608144,0.16870929934585543,0.568235247813897,0.7986421722983638,0.279732102807781,0.599046106859049,0.22897330717939052,0.5711373924756209,0.9449957348755635,0.2625921734790343,0.43108496000241087,0.043402102207580395,0.41312049244531945,0.5045639362900491,0.3766767618804207,0.42919412407845065,0.0010142901719749089,0.42869805718367754,0.4306077539638808,0.42827656108779355,0.518982433791237,0.1717699945141608,0.5418991613740993,0.7287784508564642,0.21569024964211736
010101010101020202_pdb,0.5757213883695332,0.13378595038169516,0.6158412401817479,0.7535995897209921,0.31161089347102716,0.597451482516661,0.1953054313440533,0.5948465584886522,0.9055386295778199,0.2808580113853883,0.5929227143863522,0.20786125341635808,0.6025342509200701,0.9465358594924351,0.27608422080814504,0.4511905235103151,0.04826355622389787,0.45065654692353874,0.5135920064210285,0.38913674313832886,0.4429243964029497,0.01749607629936619,0.45083907956630304,0.45926945299556926,0.41866465664697694,0.4899689008276222,0.16197847788895128,0.5077442428957454,0.6985316587353598,0.21362618013228168
010101010101020301_pdb,0.553927476250313,0.1295561173780314,0.5552444753973108,0.7494011067502909,0.32922404315881243,0.4929081706121073,0.14938230904663272,0.48686148535484963,0.7090353822069632,0.25133831862895906,0.5643116415358351,0.19380376557918924,0.5680525956290542,0.8665083226018752,0.26448692663834916,0.5071333147812466,0.05717087203439113,0.4795121278098332,0.6007836894275399,0.4552556157535854,0.4376817047031345,0.027262545294158086,0.443795787517467,0.4675918144828488,0.40165751210908757,0.471547173665591,0.12855510644787385,0.48436315901256255,0.6442796751054347,0.23366379480782057
010101010101020302_pdb,0.5934579850375241,0.14597558391124826,0.6066775841800622,0.7805173331336827,0.3333517037843041,0.5656666768008831,0.14880427034015442,0.5512062847561727,0.7891451774074103,0.32931099846319517,0.5341547365243304,0.17064501227652237,0.5256128697983288,0.8306091480683505,0.2719857748322283,0.4475657568878923,0.043979287651881485,0.4542260016042986,0.512533549068747,0.3727804082102634,0.39177859912684704,0.027239149672904712,0.40894336098783607,0.41306233821630167,0.3533300981764033,0.4813938835317139,0.15253589656624708,0.5127097584154321,0.6689174897932231,0.2021928918786974
010101010101020401_pdb,0.5667228183021142,0.14664823811751485,0.5743350545205526,0.7830228075592786,0.30466696117424985,0.6443417411191092,0.25151867662789357,0.6123005019723149,1.1204125758708652,0.2953715918864541,0.5172034877867131,0.17952102074595513,0.4839271034998825,0.7974827679656977,0.24797120077576015,0.460714948892965,0.04816128721789965,0.4732022861901209,0.5187600947345178,0.37338114972685893,0.39234295933272084,0.01744886954129766,0.38135431985800916,0.41697185312530316,0.37870270501485037,0.4498399028022104,0.13282589549647822,0.4826792323979092,0.6046095781113954,0.2177983148333911
010101010101020402_pdb,0.5832300331053665,0.12733278094812472,0.5965824252690326,0.7458802751302661,0.344377778729064,0.5352938031174814,0.15464520952217084,0.5232194326220743,0.7755891871335345,0.2962536871127183,0.5461925069934532,0.19681179851140146,0.5307122073710219,0.8989714918955871,0.2677286206786387,0.44061706536421075,0.04543886751405679,0.44654149695712403,0.5117734877417268,0.38099068724920426,0.40420900924272246,0.022745472828457035,0.4125030821565706,0.42697741569799935,0.3731465298735976,0.4903630642509168,0.15016396715432492,0.5131776013669082,0.6611468808605946,0.22239213963547305
010101010101030101_pdb,0.6427593488244171,0.1270398003967639,0.6859964250561252,0.7824372494227357,0.4010578395141142,0.6141181625843625,0.19806674423490778,0.5992096398762365,0.9304696038660852,0.3262828092746759,0.6122311255085046,0.18794741176967814,0.6033136798267011,0.8866183322061457,0.30231238743950084,0.4547133691426762,0.051485578336701365,0.4389213098634174,0.5436472086837789,0.38936189479790384,0.4227818547682749,0.019028159729520152,0.4349886708655235,0.4374474506585534,0.3959094427807477,0.4884482160916521,0.1507632368966012,0.5170836929027208,0.6591127201136989,0.20880649264351572
010101010101030102_pdb,0.6680610227694717,0.17110600991944366,0.6988523578950581,0.9000990670044252,0.3595279328064987,0.6090365934446722,0.18583075041045852,0.6184432824930326,0.872101846377191,0.3106834919278848,0.6866730433325325,0.28165513996222624,0.6521727530602032,1.1760639199833713,0.27527920387861676,0.46121692819479804,0.04919207647019357,0.47446254878318656,0.5169841604459124,0.39403718171181595,0.4301428648520434,0.013436772369538238,0.43370495743898724,0.44452671570849817,0.4121969214086447,0.5461638179309296,0.18193432752606198,0.571036693060184,0.7928603515457214,0.22850707145281765
010101010101030201_pdb,0.5432341559977838,0.10990663070261007,0.5680994973131047,0.703446329886071,0.3427597194297561,0.5320159771197893,0.12633325117830133,0.5372731795548616,0.7040899949553058,0.30873315792444256,0.6342456771283448,0.23917312505340413,0.6390329464058799,1.0249034434726136,0.27498077934795284,0.4754416618987203,0.04645706547881703,0.4966665781897517,0.5299022104003407,0.40376523252571955,0.4910965373142869,0.015987443902407587,0.48603566090668743,0.5127106908609961,0.47454326017517723,0.5712516529868987,0.1859075161628863,0.5875710068992307,0.8196070213395312,0.2503576851096436
010101010101030202_pdb,0.5787058938370584,0.15447047242038212,0.5536013766723993,0.8319039562555908,0.33576874901230913,0.5638127591704706,0.15909628028060205,0.5752862650363757,0.7914473655336368,0.28970097927885047,0.5784989515594725,0.19558259072367803,0.5521321538799616,0.9265775219211694,0.29419346899619286,0.4411601924846796,0.047072316914777215,0.4616455527143931,0.48554112577657327,0.37299038079321817,0.4278914673938434,0.010668348149370174,0.4214359412913741,0.44292876538128567,0.41930969550887043,0.49233674013383183,0.1526859541740149,0.4891654286756562,0.6898161182080331,0.20835832037757376
